iter	Passed	Remaining
0	25	25133
1	44	22291
2	68	22723
3	97	24269
4	117	23362
5	137	22793
6	156	22173
7	171	21267
8	182	20061
9	209	20765
10	244	21992
11	255	21043
12	284	21622
13	308	21732
14	336	22096
15	364	22417
16	383	22193
17	413	22585
18	442	22850
19	461	22630
20	506	23595
21	534	23754
22	563	23932
23	592	24096
24	621	24234
25	631	23663
26	660	23790
27	689	23937
28	721	24163
29	750	24268
30	780	24401
31	800	24212
32	824	24154
33	854	24274
34	865	23860
35	884	23691
36	914	23790
37	929	23539
38	960	23674
39	972	23346
40	1001	23422
41	1029	23487
42	1039	23140
43	1050	22816
44	1064	22591
45	1092	22657
46	1120	22719
47	1149	22795
48	1180	22907
49	1199	22787
50	1227	22839
51	1256	22900
52	1289	23036
53	1317	23079
54	1345	23116
55	1355	22850
56	1384	22909
57	1420	23076
58	1449	23124
59	1478	23163
60	1498	23062
61	1526	23098
62	1555	23130
63	1583	23162
64	1612	23202
65	1643	23259
66	1667	23219
67	1695	23243
68	1719	23199
69	1748	23226
70	1772	23190
71	1782	22975
72	1809	22981
73	1838	23006
74	1869	23061
75	1897	23071
76	1921	23035
77	1936	22887
78	1963	22896
79	1993	22923
80	2021	22936
81	2050	22953
82	2066	22826
83	2086	22752
84	2106	22671
85	2134	22687
86	2164	22710
87	2192	22722
88	2221	22738
89	2245	22703
90	2274	22715
91	2307	22777
92	2339	22814
93	2367	22822
94	2396	22830
95	2425	22841
96	2449	22805
97	2464	22684
98	2493	22691
99	2523	22710
100	2553	22728
101	2583	22745
102	2613	22756
103	2641	22760
104	2670	22763
105	2699	22763
106	2719	22696
107	2749	22708
108	2778	22713
109	2807	22716
110	2827	22648
111	2851	22610
112	2880	22609
113	2909	22610
114	2937	22606
115	2968	22618
116	2989	22562
117	3025	22614
118	3053	22608
119	3082	22604
120	3110	22599
121	3129	22525
122	3159	22526
123	3194	22566
124	3226	22586
125	3255	22580
126	3284	22574
127	3312	22566
128	3341	22559
129	3370	22556
130	3401	22565
131	3430	22560
132	3459	22550
133	3487	22539
134	3516	22530
135	3544	22516
136	3571	22499
137	3600	22490
138	3621	22431
139	3649	22420
140	3677	22407
141	3702	22373
142	3730	22358
143	3754	22320
144	3783	22307
145	3813	22308
146	3838	22275
147	3868	22272
148	3897	22258
149	3925	22244
150	3957	22248
151	3985	22235
152	4015	22229
153	4044	22217
154	4080	22245
155	4115	22264
156	4136	22212
157	4186	22308
158	4219	22318
159	4251	22322
160	4282	22319
161	4300	22245
162	4330	22238
163	4361	22231
164	4398	22259
165	4429	22254
166	4459	22246
167	4491	22243
168	4523	22244
169	4553	22233
170	4574	22176
171	4594	22118
172	4623	22103
173	4648	22064
174	4677	22050
175	4708	22044
176	4744	22062
177	4774	22047
178	4803	22031
179	4828	21997
180	4857	21980
181	4886	21962
182	4916	21951
183	4947	21942
184	4976	21922
185	5005	21905
186	5033	21884
187	5072	21909
188	5103	21898
189	5132	21881
190	5148	21808
191	5180	21799
192	5209	21783
193	5238	21763
194	5266	21742
195	5296	21727
196	5324	21705
197	5355	21691
198	5383	21670
199	5416	21666
200	5446	21649
201	5452	21538
202	5511	21638
203	5539	21616
204	5568	21594
205	5598	21577
206	5634	21586
207	5665	21573
208	5696	21558
209	5728	21551
210	5759	21537
211	5792	21529
212	5826	21529
213	5857	21513
214	5889	21502
215	5919	21485
216	5949	21469
217	5981	21457
218	6002	21406
219	6033	21391
220	6064	21374
221	6093	21355
222	6122	21334
223	6151	21309
224	6180	21287
225	6208	21263
226	6240	21250
227	6277	21255
228	6307	21236
229	6332	21198
230	6361	21178
231	6391	21159
232	6420	21135
233	6435	21067
234	6469	21060
235	6488	21005
236	6515	20977
237	6531	20912
238	6560	20887
239	6589	20865
240	6617	20840
241	6646	20818
242	6675	20796
243	6705	20775
244	6738	20764
245	6767	20743
246	6796	20718
247	6812	20656
248	6840	20632
249	6869	20607
250	6898	20584
251	6926	20560
252	6962	20556
253	6993	20539
254	7022	20515
255	7050	20491
256	7079	20466
257	7108	20442
258	7137	20421
259	7166	20397
260	7196	20377
261	7220	20337
262	7248	20313
263	7268	20262
264	7296	20238
265	7326	20216
266	7370	20233
267	7398	20208
268	7430	20190
269	7458	20165
270	7478	20118
271	7506	20092
272	7535	20067
273	7565	20044
274	7594	20020
275	7623	19998
276	7635	19928
277	7650	19869
278	7693	19882
279	7738	19898
280	7757	19849
281	7786	19824
282	7815	19800
283	7846	19781
284	7876	19761
285	7904	19732
286	7932	19706
287	7961	19682
288	7989	19656
289	8020	19635
290	8050	19614
291	8079	19590
292	8108	19566
293	8137	19540
294	8147	19471
295	8175	19444
296	8203	19418
297	8232	19394
298	8262	19370
299	8291	19347
300	8321	19325
301	8350	19299
302	8379	19276
303	8408	19250
