Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Ticket_number
0,2,108,1,22.0,1,0,7.25,2,21171
1,0,190,0,38.0,1,0,71.2833,0,17599
1,2,353,0,26.0,0,0,7.925,2,3101282
1,0,272,0,35.0,1,0,53.1,2,113803
0,2,15,1,35.0,0,0,8.05,2,373450
0,2,554,1,25.0,0,0,8.4583,1,330877
0,0,515,1,54.0,0,0,51.8625,2,17463
0,2,624,1,2.0,3,1,21.075,2,349909
1,2,412,0,27.0,0,2,11.1333,2,347742
1,1,576,0,14.0,1,0,30.0708,0,237736
1,2,727,0,4.0,1,1,16.7,2,9549
1,0,95,0,58.0,0,0,26.55,2,113783
0,2,729,1,20.0,0,0,8.05,2,2151
0,2,28,1,39.0,1,5,31.275,2,347082
0,2,840,0,14.0,0,0,7.8542,2,350406
1,1,359,0,55.0,0,0,16.0,2,248706
0,2,682,1,2.0,4,1,29.125,1,382652
1,1,867,1,30.0,0,0,13.0,2,244373
0,2,839,0,31.0,1,0,18.0,2,345763
1,2,512,0,21.5,0,0,7.225,0,2649
0,1,273,1,35.0,0,0,26.0,2,239865
1,1,80,1,34.0,0,0,13.0,2,248698
1,2,523,0,15.0,0,0,8.0292,1,330923
1,0,765,1,28.0,0,0,35.5,2,113788
0,2,626,0,8.0,3,1,21.075,2,349909
1,2,44,0,38.0,1,5,31.3875,2,347077
0,2,240,1,25.0,0,0,7.225,0,2631
0,0,260,1,19.0,3,2,263.0,2,19950
1,2,605,0,21.5,0,0,7.8792,1,330959
0,2,813,1,25.0,0,0,7.8958,2,349216
0,0,828,1,40.0,0,0,27.7208,0,17601
1,0,776,0,35.0,1,0,146.5208,0,17569
1,2,289,0,21.5,0,0,7.75,1,335677
0,1,856,1,66.0,0,0,10.5,2,24579
0,0,535,1,28.0,1,0,82.1708,0,17604
0,0,372,1,42.0,1,0,52.0,2,113789
1,2,505,1,25.0,0,0,7.2292,0,2677
0,2,134,1,21.0,0,0,8.05,2,2152
0,2,837,0,18.0,2,0,18.0,2,345764
1,2,589,0,14.0,1,0,11.2417,0,2651
0,2,7,0,40.0,1,0,9.475,2,7546
0,1,827,0,27.0,1,0,21.0,2,11668
0,2,446,1,25.0,0,0,7.8958,0,349253
1,1,456,0,3.0,1,2,41.5792,0,2123
1,2,212,0,19.0,0,0,7.8792,1,330958
0,2,697,1,25.0,0,0,8.05,2,23567
0,2,473,1,25.0,1,0,15.5,1,370371
1,2,604,0,21.5,0,0,7.75,1,14311
0,2,726,1,25.0,2,0,21.6792,0,2662
0,2,38,0,18.0,1,0,17.8,2,349237
0,2,629,1,7.0,4,1,39.6875,2,3101295
0,2,594,1,21.0,0,0,7.8,2,39886
1,0,333,0,49.0,1,0,76.7292,0,17572
1,1,246,0,29.0,1,0,26.0,2,2926
0,0,620,1,65.0,0,1,61.9792,0,113509
1,0,873,1,40.0,0,0,35.5,2,19947
1,1,707,0,21.0,0,0,10.5,2,31026
0,2,595,1,28.5,0,0,7.2292,0,2697
1,1,853,0,5.0,1,2,27.75,2,34651
0,2,299,1,11.0,5,2,46.9,2,2144
0,2,749,1,22.0,0,0,7.2292,0,2669
1,0,385,0,38.0,0,0,80.0,2,113572
0,0,337,1,45.0,1,0,83.475,2,36973
0,2,755,1,4.0,3,2,27.9,2,347088
0,0,784,1,40.0,0,0,27.7208,0,17605
1,2,560,1,25.0,1,1,15.2458,0,2661
1,1,596,0,29.0,0,0,10.5,2,29395
0,2,185,1,19.0,0,0,8.1583,2,3464
1,2,25,0,17.0,4,2,7.925,2,3101281
0,2,440,1,26.0,2,0,8.6625,2,315151
0,1,396,1,32.0,0,0,10.5,2,33111
0,2,300,0,16.0,5,2,46.9,2,2144
0,1,376,1,21.0,0,0,73.5,2,14879
0,2,161,1,26.0,1,0,14.4542,0,2680
1,2,87,1,32.0,0,0,56.4958,2,1601
0,2,546,1,25.0,0,0,7.65,2,348123
0,2,778,1,25.0,0,0,7.8958,2,349208
0,2,563,1,25.0,0,0,8.05,2,374746
1,1,127,1,0.83,0,2,29.0,2,248738
1,2,223,0,30.0,0,0,12.475,2,364516
0,2,842,1,22.0,0,0,9.0,2,345767
1,2,737,1,29.0,0,0,9.5,2,345779
1,2,519,0,21.5,0,0,7.7875,1,330932
0,0,141,1,28.0,0,0,47.1,2,113059
1,1,386,0,17.0,0,0,10.5,2,14885
1,2,52,0,33.0,3,0,15.85,2,3101278
0,2,255,1,16.0,1,3,34.375,2,6608
0,2,764,1,25.0,0,0,8.05,2,392086
1,0,259,0,23.0,3,2,263.0,2,19950
0,2,149,1,24.0,0,0,8.05,2,343275
0,2,159,1,29.0,0,0,8.05,2,343276
0,2,31,1,20.0,0,0,7.8542,2,347466
0,0,150,1,46.0,1,0,61.175,2,5734
0,2,209,1,26.0,1,2,20.575,2,2315
0,2,184,1,59.0,0,0,7.25,2,364500
0,2,740,1,25.0,0,0,8.05,2,374910
0,0,292,1,71.0,0,0,34.6542,0,17754
1,0,308,1,23.0,0,1,63.3583,0,17759
1,1,219,0,34.0,0,1,23.0,2,231919
0,1,422,1,34.0,1,0,26.0,2,244367
0,2,656,0,28.0,0,0,7.8958,2,349245
0,2,658,1,25.0,0,0,7.8958,2,349215
0,0,858,1,21.0,0,1,77.2875,2,35281
0,2,405,1,33.0,0,0,8.6542,2,7540
0,2,312,1,37.0,2,0,7.925,2,3101276
0,2,542,1,28.0,0,0,7.8958,2,349207
1,2,724,0,21.0,0,0,7.65,2,343120
1,2,559,1,25.0,0,0,7.775,2,312991
0,2,675,1,38.0,0,0,7.8958,2,349249
1,2,552,0,21.5,1,0,24.15,1,371110
0,0,667,1,47.0,0,0,52.0,2,110465
0,2,882,0,14.5,1,0,14.4542,0,2665
0,2,67,1,22.0,0,0,8.05,2,324669
0,2,417,0,20.0,1,0,9.825,2,4136
0,2,46,0,17.0,0,0,14.4583,0,2627
0,2,645,1,21.0,0,0,7.925,2,3101294
0,2,178,1,70.5,0,0,7.75,1,370369
0,1,826,1,29.0,1,0,21.0,2,11668
0,0,70,1,24.0,0,1,247.5208,0,17558
0,2,24,0,2.0,4,2,31.275,2,347082
0,1,362,1,21.0,2,0,73.5,2,14879
0,2,551,1,25.0,0,0,8.05,2,54510
0,1,575,1,32.5,1,0,30.0708,0,237736
1,1,848,0,32.5,0,0,13.0,2,27267
0,0,857,1,54.0,0,1,77.2875,2,35281
1,2,588,1,12.0,1,0,11.2417,0,2651
0,2,525,1,25.0,0,0,7.75,1,370372
1,2,499,1,24.0,0,0,7.1417,2,17369
1,2,653,0,21.5,1,1,22.3583,0,2668
0,2,234,1,45.0,0,0,6.975,2,347061
0,2,225,1,33.0,0,0,7.8958,0,349241
0,2,165,1,20.0,0,0,7.05,2,3101307
0,2,695,0,47.0,1,0,14.5,2,3337
1,1,851,0,29.0,1,0,26.0,2,228414
0,1,772,1,25.0,0,0,13.0,2,29178
0,1,685,1,23.0,0,0,15.0458,0,2133
1,0,585,0,19.0,0,2,26.2833,2,11752
0,0,271,1,37.0,1,0,53.1,2,113803
0,2,618,1,16.0,0,0,9.2167,2,7534
0,0,282,1,24.0,0,0,79.2,0,17593
0,2,99,0,21.5,0,2,15.2458,0,2678
1,2,597,0,22.0,0,0,7.75,2,347081
1,2,319,0,24.0,1,0,15.85,2,3101279
0,2,116,1,19.0,0,0,6.75,1,365222
0,1,32,1,18.0,0,0,11.5,2,231945
0,1,586,1,19.0,1,1,36.75,2,33112
1,2,29,1,27.0,0,0,7.7958,2,350043
0,2,254,0,9.0,2,2,34.375,2,6608
0,1,580,1,36.5,0,2,26.0,2,230080
0,1,121,1,42.0,0,0,13.0,2,244310
0,1,68,1,51.0,0,0,12.525,2,1166
1,0,643,0,22.0,1,0,66.6,2,113776
0,2,532,1,55.5,0,0,8.05,2,11206
0,2,889,1,40.5,0,2,14.5,2,851
0,2,612,1,25.0,0,0,7.3125,2,265302
0,0,866,1,51.0,0,1,61.3792,0,17597
1,2,287,0,16.0,0,0,7.7333,1,35851
0,2,181,1,30.0,0,0,8.05,2,392090
0,2,767,1,25.0,0,0,8.6625,2,315037
0,2,716,1,25.0,8,2,69.55,2,2343
0,2,186,1,44.0,0,1,16.1,2,371362
1,1,847,0,40.0,0,0,15.75,2,33595
0,2,82,1,26.0,0,0,7.775,2,347068
